0.00,0.00
0.65,0.02
3.26,0.51
4.41,0.95
6.21,2.11
7.03,2.94
7.93,4.29
8.37,5.30
10.29,13.71
10.95,21.66
11.95,42.39
12.46,53.86
12.46,53.86
11.94,56.00
8.49,61.87
0.46,69.80
-4.83,73.08
-15.82,76.82
-25.14,77.45
-30.48,76.39
-31.61,75.90
-40.55,70.03
-48.45,63.39
-57.20,55.66
-74.39,40.46
-82.78,32.90
-91.50,23.92
-97.05,16.58
-98.54,14.14
-101.71,7.39
-103.61,0.65
-104.23,-8.47
-103.28,-15.28
-101.12,-21.87
-95.97,-30.73
-91.92,-35.12
-89.51,-36.64
-87.87,-37.03
-86.96,-37.01
-85.82,-36.77
-83.77,-35.80
-82.93,-35.19
-77.89,-30.14
-71.83,-21.01
-69.17,-15.45
-66.73,-9.09
-64.45,-1.93
-62.22,6.21
-60.17,14.65
-58.07,24.28
-55.44,37.78
-53.85,46.72
-52.09,57.73
-50.66,67.81
-49.01,81.26
-47.87,92.49
-46.92,103.73
-46.11,118.37
-46.17,125.57
-46.17,125.63
-46.17,125.63
-46.17,125.63
-46.17,125.63
-52.21,128.64
-57.87,129.76
-64.55,129.88
-71.26,128.74
-77.34,126.48
-85.00,121.60
-92.68,113.42
-97.79,103.44
-99.79,94.51
-100.60,81.18
-100.17,63.28
-99.59,53.18
-97.95,33.67
-96.38,20.40
-94.97,11.37
-94.39,8.57
-91.04,-0.70
-87.26,-6.90
-83.35,-10.51
-82.37,-11.00
-81.44,-11.28
-76.54,-11.84
-64.02,-11.68
-50.81,-11.08
-35.52,-10.38
-16.47,-9.52
-9.09,-9.04
-5.61,-8.75
13.97,-7.08
25.41,-6.10
25.48,-6.10
25.60,-6.12
25.60,-6.12
25.60,-6.12
26.76,-8.15
29.13,-17.18
29.34,-24.11
27.73,-33.77
24.85,-42.86
19.20,-58.75
15.15,-70.11
9.89,-84.90
5.20,-97.19
4.34,-99.44
3.09,-103.73
3.00,-104.64
3.01,-104.70
3.03,-104.76
3.12,-104.93
4.17,-105.99
6.87,-107.55
18.65,-111.38
27.40,-112.50
35.76,-112.80
53.26,-112.30
63.02,-111.56
81.94,-109.76
92.71,-108.66
113.04,-106.58
123.36,-105.54
143.81,-103.45
154.13,-102.38
169.61,-100.78
182.97,-99.41
183.35,-99.36
185.25,-98.70
186.00,-98.19
186.64,-97.54
187.51,-96.02
188.56,-92.75
192.68,-73.94
194.81,-62.59
198.34,-43.66
200.26,-33.33
204.10,-12.73
205.94,-2.85
209.25,15.00
212.08,30.31
215.63,49.44
217.52,59.64
220.80,78.49
222.95,92.92
225.14,111.33
226.24,122.70
227.85,142.54
228.41,151.54
229.09,169.75
229.22,184.60
229.03,195.55
228.24,209.80
226.32,227.40
224.81,237.21
221.43,254.72
219.24,263.66
214.22,277.22
210.51,284.14
210.41,284.31
209.63,285.09
209.13,285.38
202.28,287.61
194.34,288.84
178.74,290.62
159.67,292.79
149.23,293.98
130.09,296.14
114.43,297.90
96.13,299.99
86.08,301.13
65.72,303.45
55.41,304.63
36.64,306.56
27.84,307.16
22.34,306.80
