0.00,0.00
4.80,0.00
24.25,0.00
34.63,0.00
47.60,0.00
63.16,0.00
75.94,0.02
84.82,0.00
90.53,-0.02
100.13,-0.07
112.45,-0.13
124.77,-0.19
135.02,-0.29
135.02,-0.29
135.21,-0.26
135.33,-0.20
135.38,-0.16
136.28,1.19
138.02,7.44
137.79,12.04
135.70,18.31
131.72,25.37
125.65,34.96
119.40,44.74
111.33,57.60
106.54,65.92
102.13,75.38
99.64,82.41
99.61,82.53
99.58,83.05
99.75,83.54
99.91,83.75
99.91,83.75
101.59,84.24
117.36,86.65
127.66,87.85
143.99,89.52
143.99,89.52
144.11,89.56
147.41,92.29
149.63,95.95
151.23,103.63
150.77,107.56
147.57,115.91
144.02,121.87
133.52,138.25
127.95,146.93
117.53,163.13
111.82,172.02
105.59,181.82
105.52,181.93
105.21,183.05
105.24,183.64
105.45,184.11
105.63,184.30
106.27,184.62
116.33,186.19
125.85,186.57
145.11,187.06
155.61,187.33
173.76,187.81
193.08,188.33
203.78,188.60
222.90,189.08
238.59,189.49
257.91,190.01
268.41,190.28
281.63,190.82
281.96,190.83
282.73,190.75
283.39,190.48
283.64,190.27
283.84,190.02
284.02,189.53
284.55,183.91
284.66,171.27
284.79,159.40
284.79,159.40
284.91,159.03
285.03,158.88
287.05,157.58
291.17,156.71
296.09,157.05
305.79,160.34
312.30,163.84
329.01,173.56
337.89,178.67
352.96,186.37
361.43,190.00
378.06,196.07
385.38,198.28
385.64,198.34
386.41,198.34
386.97,198.16
388.73,196.94
391.02,193.41
391.85,190.20
392.16,177.37
391.00,169.21
388.04,156.18
384.73,144.85
383.18,139.90
381.77,135.05
380.60,130.46
378.87,122.27
377.49,114.35
376.49,107.68
375.21,96.47
374.64,89.23
374.04,76.79
373.97,70.24
374.37,57.08
374.87,49.84
376.46,36.97
377.70,30.14
379.77,21.03
381.82,13.93
381.96,13.43
382.02,11.03
381.63,9.79
380.96,8.68
380.20,7.97
379.39,7.56
369.67,5.58
360.86,5.24
341.53,5.10
326.62,4.99
310.66,4.99
