0.00,0.00
0.52,0.02
2.11,0.32
3.19,0.76
4.25,1.52
5.15,2.70
5.42,3.36
6.39,8.26
6.73,14.28
7.18,29.84
7.74,49.16
7.97,59.34
7.87,73.22
6.88,84.33
6.78,84.84
6.02,86.97
1.60,92.33
-2.00,94.51
-6.53,95.90
-13.08,95.76
-15.48,94.98
-16.91,94.09
-17.97,92.86
-18.42,91.92
-18.81,90.42
-19.04,88.03
-19.15,81.87
-19.15,67.99
-19.11,58.00
-18.82,48.35
-17.93,38.40
-16.98,32.25
-15.70,26.02
-13.07,16.12
-11.82,12.30
-11.63,11.68
-11.53,9.15
-11.89,7.90
-12.97,6.36
-13.69,5.82
-14.36,5.57
-19.27,5.12
-39.89,5.07
-51.57,5.05
-63.24,5.02
-79.19,4.98
-90.15,4.79
-90.41,4.79
-91.99,5.17
-93.24,5.99
-94.67,7.57
-96.12,10.33
-97.13,14.55
-97.05,23.57
-94.43,35.34
-89.87,47.14
-87.57,51.93
-85.78,55.75
-84.84,57.95
-83.61,61.09
-82.66,63.65
-81.67,66.53
-80.49,70.10
-78.90,75.18
-77.25,80.91
-75.74,86.48
-74.44,91.57
-73.32,96.23
-72.24,101.11
-70.68,109.00
-69.82,113.98
-68.89,119.94
-67.98,126.17
-67.95,126.43
-67.95,127.01
-68.19,128.94
-68.91,131.16
-69.24,131.79
-70.18,132.95
-71.28,133.86
-73.91,135.27
-77.04,136.10
-83.96,135.61
-87.71,133.98
-91.72,130.59
-94.00,126.74
-94.94,123.64
-97.35,109.71
-98.19,100.54
-98.85,82.84
-98.82,73.05
-98.52,50.16
-98.39,39.40
-97.95,24.81
-97.31,16.34
-97.13,15.12
-95.09,10.28
-93.49,8.50
-92.16,7.68
-90.32,7.07
-77.31,4.63
-67.52,3.52
-54.42,2.20
-43.00,1.06
-31.38,-0.09
-12.22,-2.02
-1.51,-3.10
15.01,-4.78
28.17,-6.12
28.17,-6.12
28.17,-6.12
28.17,-6.12
28.55,-6.56
29.56,-9.44
29.65,-15.08
28.17,-20.99
25.03,-28.54
19.44,-40.60
15.21,-49.71
9.67,-61.66
4.97,-71.85
-0.27,-83.85
-0.40,-84.22
-0.55,-85.11
-0.36,-86.13
-0.09,-86.65
0.34,-87.13
0.83,-87.46
1.81,-87.80
15.41,-89.78
27.36,-90.86
39.89,-92.01
53.19,-93.24
66.11,-94.42
76.05,-95.33
90.00,-96.62
101.89,-97.71
117.58,-99.13
140.19,-101.15
152.46,-102.25
166.16,-103.44
175.41,-104.03
182.03,-104.06
182.22,-104.05
182.67,-103.96
183.29,-103.61
183.56,-103.32
183.75,-102.92
184.38,-99.47
185.52,-85.45
186.25,-73.80
187.08,-60.59
187.89,-47.65
188.85,-32.37
189.57,-20.98
190.55,-5.45
191.76,13.84
192.42,24.32
193.63,43.61
194.29,54.10
195.69,76.49
196.32,86.46
197.61,107.04
198.27,117.53
199.00,129.18
199.73,140.83
200.95,160.11
201.60,170.47
202.80,189.63
203.47,200.24
204.67,219.40
205.47,233.45
205.87,250.18
205.57,260.68
204.79,270.96
203.38,282.09
203.33,282.35
203.16,282.83
202.46,283.77
202.05,284.08
201.64,284.28
198.49,285.06
184.34,286.91
169.51,288.45
157.25,289.73
145.64,290.94
132.74,292.28
116.94,293.94
106.94,294.99
87.79,297.01
76.18,298.25
57.03,300.26
46.96,301.28
33.91,302.39
22.77,302.96
